5.000000000000000000e+00 4.823972277396255670e+00
1.000000000000000000e+01 9.318066036913810635e+00
1.500000000000000000e+01 1.352554220250209838e+01
2.000000000000000000e+01 1.746253755496488935e+01
2.500000000000000000e+01 2.116431396648727414e+01
3.000000000000000000e+01 2.464119971607165382e+01
3.500000000000000000e+01 2.791811663921478015e+01
4.000000000000000000e+01 3.101016765027640076e+01
4.500000000000000000e+01 3.393443126955340716e+01
5.000000000000000000e+01 3.670316558144816810e+01
5.500000000000000000e+01 3.933095339235362076e+01
6.000000000000000000e+01 4.181864810794468923e+01
6.500000000000000000e+01 4.419477353254389840e+01
7.000000000000000000e+01 4.644678902288433164e+01
7.500000000000000000e+01 4.860200002317523627e+01
8.000000000000000000e+01 5.065144093750301835e+01
8.500000000000000000e+01 5.261158140238880065e+01
9.000000000000000000e+01 5.469223828127037734e+01
9.500000000000000000e+01 5.791512380980435637e+01
