5.000000000000000000e+00 4.990953181281905238e+00
1.000000000000000000e+01 9.983238176884890791e+00
1.500000000000000000e+01 1.494616823637703185e+01
2.000000000000000000e+01 1.994654042488029333e+01
2.500000000000000000e+01 2.492767496445953768e+01
3.000000000000000000e+01 2.988347193131590274e+01
3.500000000000000000e+01 3.494305988154322762e+01
4.000000000000000000e+01 3.970095920729200856e+01
4.500000000000000000e+01 4.473233996958335723e+01
5.000000000000000000e+01 4.968938291222968218e+01
5.500000000000000000e+01 5.455708712343148648e+01
6.000000000000000000e+01 5.992928266612477017e+01
6.500000000000000000e+01 6.426465325717788346e+01
7.000000000000000000e+01 6.937361340015966960e+01
7.500000000000000000e+01 7.433952974882046760e+01
8.000000000000000000e+01 7.927049384126387110e+01
8.500000000000000000e+01 8.419682240589267508e+01
9.000000000000000000e+01 8.909341172872024117e+01
9.500000000000000000e+01 9.411068285507715814e+01
1.000000000000000000e+02 9.849370297583574541e+01
1.050000000000000000e+02 1.037745967775190650e+02
