flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s,speed_cmds
notimplemented,notimplemented,move,.035,.065,.025
notimplemented,notimplemented,move,.065,.065,.025
notimplemented,notimplemented,move,.065,.064,.025
notimplemented,notimplemented,move,.035,.064,.025
notimplemented,notimplemented,move,.035,.063,.025
notimplemented,notimplemented,move,.065,.063,.025
notimplemented,notimplemented,move,.065,.062,.025
notimplemented,notimplemented,move,.035,.062,.025
notimplemented,notimplemented,move,.035,.061,.025
notimplemented,notimplemented,move,.065,.061,.025
notimplemented,notimplemented,move,.065,.060,.025
notimplemented,notimplemented,move,.035,.060,.025
notimplemented,notimplemented,move,.035,.039,.025
notimplemented,notimplemented,move,.065,.039,.025
notimplemented,notimplemented,move,.065,.038,.025
notimplemented,notimplemented,move,.035,.038,.025
notimplemented,notimplemented,move,.035,.037,.025
notimplemented,notimplemented,move,.065,.037,.025
notimplemented,notimplemented,move,.065,.036,.025
notimplemented,notimplemented,move,.035,.036,.025
notimplemented,notimplemented,move,.065,.035,.025
notimplemented,notimplemented,move,.035,.035,.025
notimplemented,notimplemented,move,.06,.06,.025
