flasher_cmds,pos_cmd_0s,pos_cmd_1s
1 1 1 0 0 0 0 0 0 0 0 0,0.22499299999999997,0.22499299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.274993,0.22499299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.324993,0.22499299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.374993,0.22499299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.42499299999999995,0.22499299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.22499299999999997,0.274993
1 1 1 0 0 0 0 0 0 0 0 0,0.274993,0.274993
1 1 1 0 0 0 0 0 0 0 0 0,0.324993,0.274993
1 1 1 0 0 0 0 0 0 0 0 0,0.374993,0.274993
1 1 1 0 0 0 0 0 0 0 0 0,0.42499299999999995,0.274993
1 1 1 0 0 0 0 0 0 0 0 0,0.22499299999999997,0.324993
1 1 1 0 0 0 0 0 0 0 0 0,0.274993,0.324993
1 1 1 0 0 0 0 0 0 0 0 0,0.324993,0.324993
1 1 1 0 0 0 0 0 0 0 0 0,0.374993,0.324993
1 1 1 0 0 0 0 0 0 0 0 0,0.42499299999999995,0.324993
1 1 1 0 0 0 0 0 0 0 0 0,0.22499299999999997,0.374993
1 1 1 0 0 0 0 0 0 0 0 0,0.274993,0.374993
1 1 1 0 0 0 0 0 0 0 0 0,0.324993,0.374993
1 1 1 0 0 0 0 0 0 0 0 0,0.374993,0.374993
1 1 1 0 0 0 0 0 0 0 0 0,0.42499299999999995,0.374993
1 1 1 0 0 0 0 0 0 0 0 0,0.22499299999999997,0.42499299999999995
1 1 1 0 0 0 0 0 0 0 0 0,0.274993,0.42499299999999995
1 1 1 0 0 0 0 0 0 0 0 0,0.324993,0.42499299999999995
1 1 1 0 0 0 0 0 0 0 0 0,0.374993,0.42499299999999995
1 1 1 0 0 0 0 0 0 0 0 0,0.42499299999999995,0.42499299999999995
