flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s
notimplemented,notimplemented,move,0.072,0.102
notimplemented,notimplemented,move,0.0729470564929443,0.1019850476737852
notimplemented,notimplemented,move,0.07389316893938021,0.1019402055999448
notimplemented,notimplemented,move,0.07483739423384535,0.10186551847803317
notimplemented,notimplemented,move,0.07577879115203152,0.10176106075779773
notimplemented,notimplemented,move,0.07671642128901751,0.10162693656496571
notimplemented,notimplemented,move,0.07764934999469153,0.10146327959744941
notimplemented,notimplemented,move,0.07857664730543074,0.1012702529920732
notimplemented,notimplemented,move,0.07949738887110924,0.1010480491619552
notimplemented,notimplemented,move,0.08041065687651043,0.1007968896047057
notimplemented,notimplemented,move,0.08131554095622506,0.10051702468163348
notimplemented,notimplemented,move,0.08221113910212338,0.10020873336818026
notimplemented,notimplemented,move,0.0830965585624964,0.09987232297583191
notimplemented,notimplemented,move,0.08397091673197023,0.09950812884578365
notimplemented,notimplemented,move,0.08483334203130628,0.0991165140146647
notimplemented,notimplemented,move,0.08568297477621048,0.0986978688526554
notimplemented,notimplemented,move,0.08651896803428516,0.09825261067435781
notimplemented,notimplemented,move,0.0873404884692698,0.09778118332280736
notimplemented,notimplemented,move,0.08814671717172864,0.09728405672704052
notimplemented,notimplemented,move,0.08893685047535754,0.09676172643365928
notimplemented,notimplemented,move,0.08971010075809585,0.09621471311285956
notimplemented,notimplemented,move,0.09046569722724537,0.09564356203941576
notimplemented,notimplemented,move,0.0912028866878132,0.09504884254913912
notimplemented,notimplemented,move,0.09192093429331293,0.09443114747135127
notimplemented,notimplemented,move,0.09261912427827552,0.09379109253793917
notimplemented,notimplemented,move,0.09329676067173998,0.09312931576958015
notimplemented,notimplemented,move,0.0939531679910123,0.092446476839749
notimplemented,notimplemented,move,0.0945876919150013,0.09174325641714112
notimplemented,notimplemented,move,0.09519969993646016,0.09102035548716715
notimplemented,notimplemented,move,0.09578858199248336,0.0902784946531955
notimplemented,notimplemented,move,0.09635375107263061,0.08951841341823918
notimplemented,notimplemented,move,0.09689464380407177,0.0887408694478032
notimplemented,notimplemented,move,0.09741072101316896,0.08794663781462704
notimplemented,notimplemented,move,0.09790146826293669,0.08713651022607533
notimplemented,notimplemented,move,0.09836639636584381,0.08631129423494668
notimplemented,notimplemented,move,0.09880504187144622,0.08547181243448759
notimplemented,notimplemented,move,0.09921696752836444,0.08461890163841351
notimplemented,notimplemented,move,0.09960176272014523,0.0837534120467548
notimplemented,notimplemented,move,0.09995904387457304,0.08287620639835873
notimplemented,notimplemented,move,0.10028845484602311,0.08198815911089283
notimplemented,notimplemented,move,0.10058966727047516,0.08109015540920618
notimplemented,notimplemented,move,0.10086238089283388,0.08018309044291809
notimplemented,notimplemented,move,0.10110632386622959,0.07926786839411348
notimplemented,notimplemented,move,0.10132125302300121,0.07834540157603456
notimplemented,notimplemented,move,0.1015069541170911,0.07741660952366707
notimplemented,notimplemented,move,0.10166324203761007,0.07648241807712783
notimplemented,notimplemented,move,0.10178996099336007,0.07554375845876724
notimplemented,notimplemented,move,0.1018869846681302,0.07460156634490651
notimplemented,notimplemented,move,0.10195421634661136,0.07365678093313524
notimplemented,notimplemented,move,0.10199158901080432,0.07271034400609871
notimplemented,notimplemented,move,0.10199906540682468,0.0717631989927086
notimplemented,notimplemented,move,0.10197663808203826,0.07081629002771242
notimplemented,notimplemented,move,0.10192432939249016,0.06987056101055951
notimplemented,notimplemented,move,0.10184219148061971,0.06892695466450159
notimplemented,notimplemented,move,0.10173030622328376,0.06798641159686562
notimplemented,notimplemented,move,0.10158878515014008,0.06704986936143602
notimplemented,notimplemented,move,0.10141776933247212,0.06611826152388066
notimplemented,notimplemented,move,0.10121742924256613,0.0651925167311523
notimplemented,notimplemented,move,0.10098796458378065,0.06427355778579309
notimplemented,notimplemented,move,0.10072960409147788,0.063362300726065
notimplemented,notimplemented,move,0.10044260530501528,0.06245965391282285
notimplemented,notimplemented,move,0.10012725431102475,0.06156651712404052
notimplemented,notimplemented,move,0.09978386545823523,0.06068378065789272
notimplemented,notimplemented,move,0.0994127810441231,0.05981232444528632
notimplemented,notimplemented,move,0.09901437097370254,0.058953017172726205
notimplemented,notimplemented,move,0.09858903239079625,0.058106715416389565
notimplemented,notimplemented,move,0.09813718928215379,0.05727426278827219
notimplemented,notimplemented,move,0.09765929205481234,0.05645648909525767
notimplemented,notimplemented,move,0.09715581708712132,0.05565420951194788
notimplemented,notimplemented,move,0.09662726625387787,0.05486822376807915
notimplemented,notimplemented,move,0.09607416642604732,0.05409931535133432
