flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s,speed_cmds
notimplemented,notimplemented,move,0.5,0.55,.01
notimplemented,notimplemented,move,0.5162349734602342,0.5472908620850317,.01
notimplemented,notimplemented,move,0.5307106356344834,0.5394570254698197,.01
notimplemented,notimplemented,move,0.5418583239131264,0.5273474079061213,.01
notimplemented,notimplemented,move,0.5484700132969665,0.51227427435704,.01
notimplemented,notimplemented,move,0.5498292246503335,0.4958710327263834,.01
notimplemented,notimplemented,move,0.5457886663327529,0.47991522876735154,.01
notimplemented,notimplemented,move,0.5367861955336566,0.46613592141871296,.01
notimplemented,notimplemented,move,0.5237973696518536,0.45602631243967556,.01
notimplemented,notimplemented,move,0.5082297295140367,0.45068193482986385,.01
notimplemented,notimplemented,move,0.49177027048596333,0.45068193482986385,.01
notimplemented,notimplemented,move,0.4762026303481463,0.45602631243967556,.01
notimplemented,notimplemented,move,0.4632138044663434,0.4661359214187129,.01
notimplemented,notimplemented,move,0.45421133366724714,0.4799152287673515,.01
notimplemented,notimplemented,move,0.4501707753496665,0.4958710327263834,.01
notimplemented,notimplemented,move,0.45152998670303346,0.51227427435704,.01
notimplemented,notimplemented,move,0.45814167608687356,0.5273474079061213,.01
notimplemented,notimplemented,move,0.4692893643655166,0.5394570254698197,.01
notimplemented,notimplemented,move,0.48376502653976583,0.5472908620850317,.01
notimplemented,notimplemented,move,0.5,0.55,.01
notimplemented,notimplemented,move,.5,.5,.01
