flasher_cmds,pos_cmd_0s,pos_cmd_1s
1 1 1 0 0 0 0 0 0 0 0 0,0.24999299999999997,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.259993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.269993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.279993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.289993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.29999299999999995,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.30999299999999996,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.31999299999999997,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.329993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.339993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.349993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.359993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.36999299999999996,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.37999299999999997,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.389993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.399993,0.399993
1 1 1 0 0 0 0 0 0 0 0 0,0.399993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.389993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.37999299999999997,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.36999299999999996,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.359993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.349993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.339993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.329993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.31999299999999997,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.30999299999999996,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.29999299999999995,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.289993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.279993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.269993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.259993,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.24999299999999997,0.389993
1 1 1 0 0 0 0 0 0 0 0 0,0.24999299999999997,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.259993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.269993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.279993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.289993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.29999299999999995,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.30999299999999996,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.31999299999999997,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.329993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.339993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.349993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.359993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.36999299999999996,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.37999299999999997,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.389993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.399993,0.37999299999999997
1 1 1 0 0 0 0 0 0 0 0 0,0.399993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.389993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.37999299999999997,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.36999299999999996,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.359993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.349993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.339993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.329993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.31999299999999997,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.30999299999999996,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.29999299999999995,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.289993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.279993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.269993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.259993,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.24999299999999997,0.36999299999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.24999299999999997,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.259993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.269993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.279993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.289993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.29999299999999995,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.30999299999999996,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.31999299999999997,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.329993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.339993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.349993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.359993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.36999299999999996,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.37999299999999997,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.389993,0.359993
1 1 1 0 0 0 0 0 0 0 0 0,0.399993,0.359993
