flasher_cmds,pos_cmd_0s,pos_cmd_1s
1 1 1 1 0 0 0 0 0 0 0 0,0.2999991999999999,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.32499919999999993,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.34999919999999995,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.3749992,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.39999919999999994,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.4249991999999999,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.44999919999999993,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.47499919999999995,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.4999992,0.12999699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.2999991999999999,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.32499919999999993,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.34999919999999995,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.3749992,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.39999919999999994,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.4249991999999999,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.44999919999999993,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.47499919999999995,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.4999992,0.15499699999999997
1 1 1 1 0 0 0 0 0 0 0 0,0.2999991999999999,0.17999699999999996
1 1 1 1 0 0 0 0 0 0 0 0,0.32499919999999993,0.17999699999999996
1 1 1 1 0 0 0 0 0 0 0 0,0.34999919999999995,0.17999699999999996
1 1 1 1 0 0 0 0 0 0 0 0,0.3749992,0.17999699999999996
1 1 1 1 0 0 0 0 0 0 0 0,0.39999919999999994,0.17999699999999996
1 1 1 1 0 0 0 0 0 0 0 0,0.4249991999999999,0.17999699999999996
1 1 1 1 0 0 0 0 0 0 0 0,0.44999919999999993,0.17999699999999996
